ID,Movie Title,Image URL,Plot Summary,Language,Year,Genre,Duration,Rating,Number of Votes,Director,Lead Cast,Supporting Cast,FeatureSoup
1,sholay,https://upload.wikimedia.org/wikipedia/en/5/52/Sholay-poster.jpg,"two former thieves, jai and veeru, are hired to capture a brutal bandit, forging an unbreakable friendship in a high-stakes battle for justice.",hindi,1975,"action, adventure, drama",204,8.2,60000,ramesh sippy,amitabh bachchan; dharmendra; hema malini,amjad khan; sanjeev kumar; jaya bhaduri; asrani,"action, adventure, drama ramesh sippy ramesh sippy ramesh sippy amitabh bachchan; dharmendra; hema malini amitabh bachchan; dharmendra; hema malini amitabh bachchan; dharmendra; hema malini amitabh bachchan; dharmendra; hema malini amitabh bachchan; dharmendra; hema malini amjad khan; sanjeev kumar; jaya bhaduri; asraniamjad khan; sanjeev kumar; jaya bhaduri; asrani"
2,dilwale dulhania le jayenge,https://upload.wikimedia.org/wikipedia/en/8/80/Dilwale_Dulhania_Le_Jayenge_poster.jpg,"a carefree raj falls for tradition-bound simran on a european trip, then must win over her formidable family to claim their timeless love.",hindi,1995,"romance, musical, drama",189,8.0,75000,aditya chopra,shah rukh khan; kajol,amrish puri; farida jalal; anupam kher; mandira bedi,"romance, musical, drama aditya chopra aditya chopra aditya chopra shah rukh khan; kajol shah rukh khan; kajol shah rukh khan; kajol shah rukh khan; kajol shah rukh khan; kajol amrish puri; farida jalal; anupam kher; mandira bediamrish puri; farida jalal; anupam kher; mandira bedi"
3,3 idiots,https://upload.wikimedia.org/wikipedia/en/d/df/3_idiots_poster.jpg,"three engineering students challenge a suffocating education system, discovering friendship, purpose, and the courage to think differently.",hindi,2009,"comedy, drama",170,8.4,351000,rajkumar hirani,aamir khan; r. madhavan; sharman joshi,kareena kapoor; boman irani; omi vaidya,"comedy, drama rajkumar hirani rajkumar hirani rajkumar hirani aamir khan; r. madhavan; sharman joshi aamir khan; r. madhavan; sharman joshi aamir khan; r. madhavan; sharman joshi aamir khan; r. madhavan; sharman joshi aamir khan; r. madhavan; sharman joshi kareena kapoor; boman irani; omi vaidyakareena kapoor; boman irani; omi vaidya"
4,lagaan,https://upload.wikimedia.org/wikipedia/en/b/b6/Lagaan.jpg,"under colonial rule, a village wagers its future in a cricket match against the british, turning underdogs into legends.",hindi,2001,"drama, musical, sport",224,8.1,112000,ashutosh gowariker,aamir khan; gracy singh,rachel shelley; paul blackthorne; raghuvir yadav,"drama, musical, sport ashutosh gowariker ashutosh gowariker ashutosh gowariker aamir khan; gracy singh aamir khan; gracy singh aamir khan; gracy singh aamir khan; gracy singh aamir khan; gracy singh rachel shelley; paul blackthorne; raghuvir yadavrachel shelley; paul blackthorne; raghuvir yadav"
5,dangal,https://upload.wikimedia.org/wikipedia/en/9/99/Dangal_Poster.jpg,"a former wrestler trains his daughters to become champions, shattering stereotypes and taking on the world one bout at a time.",hindi,2016,"biography, drama, sport",161,8.4,161000,nitesh tiwari,aamir khan; fatima sana shaikh; sanya malhotra,zaira wasim; suhani bhatnagar; aparshakti khurana,"biography, drama, sport nitesh tiwari nitesh tiwari nitesh tiwari aamir khan; fatima sana shaikh; sanya malhotra aamir khan; fatima sana shaikh; sanya malhotra aamir khan; fatima sana shaikh; sanya malhotra aamir khan; fatima sana shaikh; sanya malhotra aamir khan; fatima sana shaikh; sanya malhotra zaira wasim; suhani bhatnagar; aparshakti khuranazaira wasim; suhani bhatnagar; aparshakti khurana"
6,mughal-e-azam,https://upload.wikimedia.org/wikipedia/en/1/16/Mughal-e-Azam.jpg,"a prince’s forbidden love for a courtesan threatens the might of an empire, unfolding in opulent drama and heartbreaking defiance.",hindi,1960,"drama, romance, musical",197,8.2,23000,k. asif,prithviraj kapoor; dilip kumar; madhubala,durga khote; nigar sultana; ajit khan,"drama, romance, musical k. asif k. asif k. asif prithviraj kapoor; dilip kumar; madhubala prithviraj kapoor; dilip kumar; madhubala prithviraj kapoor; dilip kumar; madhubala prithviraj kapoor; dilip kumar; madhubala prithviraj kapoor; dilip kumar; madhubala durga khote; nigar sultana; ajit khandurga khote; nigar sultana; ajit khan"
7,andhadhun,https://upload.wikimedia.org/wikipedia/en/4/47/Andhadhun_poster.jpg,"a blind pianist gets entangled in a murder, where every note hides a secret and no one is who they seem.",hindi,2018,"thriller, crime, mystery",139,8.2,112000,sriram raghavan,ayushmann khurrana; tabu,radhika apte; anil dhawan; manav vij; zakir hussain,"thriller, crime, mystery sriram raghavan sriram raghavan sriram raghavan ayushmann khurrana; tabu ayushmann khurrana; tabu ayushmann khurrana; tabu ayushmann khurrana; tabu ayushmann khurrana; tabu radhika apte; anil dhawan; manav vij; zakir hussainradhika apte; anil dhawan; manav vij; zakir hussain"
8,gully boy,https://upload.wikimedia.org/wikipedia/en/0/07/Gully_Boy_poster.jpg,"a young man from mumbai’s chawls finds his voice through hip-hop, rising from the margins to challenge class and destiny.",hindi,2019,"drama, music",154,7.9,41000,zoya akhtar,ranveer singh; alia bhatt,siddhant chaturvedi; vijay raaz; vijay varma; amruta subhash,"drama, music zoya akhtar zoya akhtar zoya akhtar ranveer singh; alia bhatt ranveer singh; alia bhatt ranveer singh; alia bhatt ranveer singh; alia bhatt ranveer singh; alia bhatt siddhant chaturvedi; vijay raaz; vijay varma; amruta subhashsiddhant chaturvedi; vijay raaz; vijay varma; amruta subhash"
9,mother india,https://upload.wikimedia.org/wikipedia/en/2/20/Mother_India_poster.jpg,"a resilient mother battles poverty and temptation to keep her family’s honor intact, becoming a symbol of sacrifice and strength.",hindi,1957,"drama, musical",172,8.1,13000,mehboob khan,nargis; sunil dutt; rajendra kumar,raaj kumar; kanhaiyalal; kumkum,"drama, musical mehboob khan mehboob khan mehboob khan nargis; sunil dutt; rajendra kumar nargis; sunil dutt; rajendra kumar nargis; sunil dutt; rajendra kumar nargis; sunil dutt; rajendra kumar nargis; sunil dutt; rajendra kumar raaj kumar; kanhaiyalal; kumkumraaj kumar; kanhaiyalal; kumkum"
10,pyaasa,https://upload.wikimedia.org/wikipedia/en/9/93/Pyaasa_poster.jpg,"a disillusioned poet searches for meaning in a materialistic world, finding redemption and love through his haunting verses.",hindi,1957,"drama, romance, musical",146,8.5,5600,guru dutt,guru dutt; waheeda rehman,mala sinha; johnny walker; mehmood; tun tun,"drama, romance, musical guru dutt guru dutt guru dutt guru dutt; waheeda rehman guru dutt; waheeda rehman guru dutt; waheeda rehman guru dutt; waheeda rehman guru dutt; waheeda rehman mala sinha; johnny walker; mehmood; tun tunmala sinha; johnny walker; mehmood; tun tun"
11,baahubali: the beginning,https://upload.wikimedia.org/wikipedia/en/5/5f/Baahubali_The_Beginning_poster.jpg,a young adventurer discovers his royal lineage and embarks on an epic quest to reclaim a kingdom torn by betrayal.,telugu,2015,"action, drama, fantasy",159,8.0,132000,s. s. rajamouli,prabhas; rana daggubati; anushka shetty; tamannaah bhatia,ramya krishnan; sathyaraj; nassar; subbaraju; tanikella bharani,"action, drama, fantasy s. s. rajamouli s. s. rajamouli s. s. rajamouli prabhas; rana daggubati; anushka shetty; tamannaah bhatia prabhas; rana daggubati; anushka shetty; tamannaah bhatia prabhas; rana daggubati; anushka shetty; tamannaah bhatia prabhas; rana daggubati; anushka shetty; tamannaah bhatia prabhas; rana daggubati; anushka shetty; tamannaah bhatia ramya krishnan; sathyaraj; nassar; subbaraju; tanikella bharaniramya krishnan; sathyaraj; nassar; subbaraju; tanikella bharani"
12,baahubali 2: the conclusion,https://upload.wikimedia.org/wikipedia/en/9/93/Baahubali_2_The_Conclusion_poster.jpg,secrets are revealed and loyalties tested as a rightful heir returns to settle scores in a thunderous climax.,telugu,2017,"action, drama, fantasy",171,8.2,131000,s. s. rajamouli,prabhas; anushka shetty; rana daggubati; tamannaah bhatia,ramya krishnan; sathyaraj; nassar; subbaraju; rohini,"action, drama, fantasy s. s. rajamouli s. s. rajamouli s. s. rajamouli prabhas; anushka shetty; rana daggubati; tamannaah bhatia prabhas; anushka shetty; rana daggubati; tamannaah bhatia prabhas; anushka shetty; rana daggubati; tamannaah bhatia prabhas; anushka shetty; rana daggubati; tamannaah bhatia prabhas; anushka shetty; rana daggubati; tamannaah bhatia ramya krishnan; sathyaraj; nassar; subbaraju; rohiniramya krishnan; sathyaraj; nassar; subbaraju; rohini"
